,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Alabama,6.466666666666666,8.133333333333333,8.166666666666666,7.766666666666667,8.233333333333334,8.5,8.0,8.433333333333334,7.533333333333334,8.666666666666666,9.066666666666668
Alaska,8.966666666666667,9.833333333333334,9.833333333333334,9.0,6.233333333333333,10.233333333333333,9.366666666666667,10.733333333333334,9.4,9.266666666666667,7.466666666666666
Arizona,8.033333333333333,10.333333333333332,8.566666666666666,7.0,11.4,9.866666666666667,8.133333333333333,9.6,7.066666666666666,8.0,9.066666666666666
Arkansas,7.533333333333334,9.666666666666666,8.4,7.7,7.599999999999999,8.4,7.7,10.1,8.499999999999998,7.5,7.766666666666667
California,9.266666666666666,9.733333333333333,8.333333333333334,8.416666666666666,12.483333333333334,10.75,8.75,10.75,12.416666666666666,9.9,9.333333333333334
Colorado,8.733333333333333,10.233333333333333,8.4,8.333333333333334,9.1,9.666666666666666,8.416666666666666,7.95,7.333333333333333,8.133333333333333,7.833333333333333
Connecticut,7.6000000000000005,9.733333333333333,6.666666666666667,6.900000000000001,8.433333333333334,8.366666666666667,8.366666666666667,7.666666666666667,7.6000000000000005,7.666666666666667,6.766666666666667
Delaware,11.0,8.833333333333334,9.166666666666666,9.0,11.433333333333332,7.8999999999999995,8.799999999999999,8.566666666666666,7.666666666666667,8.633333333333333,10.9
Florida,10.299999999999999,9.333333333333334,7.8,8.633333333333333,8.0,8.833333333333334,10.933333333333332,10.0,7.3,6.733333333333333,9.633333333333333
Georgia,9.366666666666667,9.733333333333333,6.666666666666667,10.566666666666666,9.833333333333334,9.1,8.716666666666667,7.433333333333334,7.533333333333334,8.700000000000001,7.033333333333334
Hawaii,7.733333333333333,7.7,11.6,8.2,10.066666666666668,5.666666666666667,8.633333333333333,8.0,9.266666666666667,7.233333333333333,8.9
Idaho,8.466666666666667,7.966666666666666,9.0,5.966666666666666,9.933333333333334,7.2,8.466666666666667,9.966666666666667,7.066666666666666,7.533333333333334,6.966666666666666
Illinois,9.700000000000001,9.586666666666668,8.066666666666666,11.733333333333334,8.166666666666666,10.466666666666667,11.833333333333334,13.766666666666666,12.466666666666667,9.066666666666668,7.7
Indiana,8.033333333333333,6.853333333333334,11.300000000000002,10.033333333333333,8.166666666666666,8.166666666666666,9.433333333333334,8.166666666666666,9.9,9.0,7.066666666666666
Iowa,8.833333333333334,11.166666666666666,10.333333333333334,8.266666666666667,8.666666666666666,8.433333333333334,7.6000000000000005,8.6,8.333333333333334,5.633333333333333,6.366666666666667
Kansas,9.066666666666666,9.4,8.066666666666666,7.6000000000000005,11.033333333333333,8.666666666666666,7.933333333333334,10.933333333333332,7.733333333333333,7.366666666666667,8.366666666666667
Kentucky,8.766666666666667,10.4,8.5,9.4,9.866666666666667,9.1,8.166666666666666,8.166666666666666,8.0,11.166666666666666,6.233333333333333
Louisiana,5.8999999999999995,7.733333333333333,5.266666666666667,7.966666666666666,8.366666666666665,6.6000000000000005,9.833333333333334,7.6000000000000005,8.933333333333334,6.766666666666667,6.766666666666667
Maine,9.366666666666667,9.313333333333333,7.3,6.2,6.633333333333333,7.266666666666667,7.766666666666667,7.599999999999999,8.066666666666666,8.0,7.533333333333334
Maryland,7.833333333333332,10.833333333333334,8.666666666666666,8.766666666666667,6.916666666666667,7.666666666666667,8.083333333333334,8.799999999999999,7.5,8.133333333333333,10.566666666666666
Massachusetts,7.249999999999999,9.6,7.833333333333333,7.833333333333333,9.1,8.1,9.266666666666667,8.066666666666666,7.733333333333333,7.533333333333332,7.6000000000000005
Michigan,9.066666666666666,8.433333333333334,8.799999999999999,11.433333333333332,10.033333333333333,10.033333333333333,10.866666666666667,12.133333333333335,12.466666666666669,10.266666666666667,8.6
Minnesota,6.433333333333334,8.966666666666667,6.666666666666667,7.6000000000000005,8.633333333333333,9.766666666666667,8.366666666666667,8.366666666666667,7.733333333333333,9.1,7.033333333333334
Mississippi,5.883333333333333,8.333333333333334,5.02,8.333333333333334,9.433333333333334,8.433333333333334,8.166666666666666,7.233333333333333,7.283333333333334,6.3,7.633333333333333
Missouri,6.7,7.7,7.066666666666666,8.233333333333334,10.033333333333333,7.833333333333333,10.5,11.033333333333333,11.633333333333335,11.066666666666668,10.333333333333334
Montana,8.1,7.366666666666667,7.933333333333333,7.6000000000000005,9.566666666666666,9.533333333333333,6.033333333333334,8.200000000000001,7.666666666666667,8.033333333333333,7.133333333333333
Nebraska,7.6000000000000005,7.233333333333333,6.066666666666666,8.233333333333334,9.5,7.133333333333333,9.983333333333333,8.733333333333333,10.4,9.233333333333334,8.6
Nevada,9.233333333333333,7.533333333333334,9.866666666666665,10.616666666666667,12.9,9.133333333333333,8.200000000000001,7.666666666666667,6.75,10.666666666666666,10.033333333333333
New Hampshire,8.466666666666667,8.38,9.433333333333334,8.299999999999999,8.6,9.433333333333334,8.416666666666666,7.8,7.666666666666667,7.666666666666667,8.9
New Jersey,8.4,10.266666666666667,7.8999999999999995,6.966666666666666,9.200000000000001,9.866666666666667,10.033333333333333,9.933333333333334,7.666666666666667,9.0,6.966666666666666
New Mexico,8.5,7.366666666666666,7.033333333333334,9.066666666666666,7.366666666666667,7.3999999999999995,8.166666666666666,7.3999999999999995,8.266666666666666,9.266666666666667,11.066666666666668
New York,7.8999999999999995,10.833333333333334,7.566666666666666,8.533333333333333,7.933333333333334,10.033333333333333,11.066666666666668,9.266666666666667,9.266666666666667,7.666666666666667,7.833333333333333
North Carolina,9.5,8.1,9.666666666666666,7.3999999999999995,8.933333333333334,9.1,8.766666666666667,8.0,8.1,9.1,7.333333333333333
North Dakota,6.633333333333333,6.8,6.0,11.766666666666666,5.8,8.666666666666666,8.533333333333333,8.666666666666666,6.233333333333333,7.766666666666667,10.366666666666667
Ohio,8.133333333333333,9.566666666666666,8.866666666666665,7.433333333333333,8.366666666666667,8.6,8.666666666666666,8.166666666666666,7.3999999999999995,9.1,7.8999999999999995
Oklahoma,8.266666666666667,12.166666666666666,7.8999999999999995,6.933333333333334,6.1000000000000005,8.233333333333333,11.366666666666667,13.333333333333334,9.466666666666667,12.0,12.466666666666667
Oregon,9.299999999999999,9.633333333333333,7.733333333333333,10.15,10.333333333333334,8.466666666666667,9.233333333333333,9.133333333333333,8.666666666666666,9.216666666666667,9.0
Pennsylvania,7.733333333333333,9.333333333333334,8.6,7.5,7.933333333333334,9.266666666666667,11.733333333333334,9.799999999999999,8.0,10.033333333333333,7.066666666666666
Rhode Island,6.1000000000000005,11.033333333333333,8.4,7.8,7.066666666666666,8.433333333333334,9.9,8.266666666666667,7.833333333333333,7.833333333333333,7.833333333333333
South Carolina,9.4,9.266666666666667,7.833333333333333,9.0,8.233333333333333,9.1,9.4,9.4,7.066666666666666,9.9,7.333333333333333
South Dakota,,8.333333333333334,9.733333333333333,5.733333333333334,7.633333333333333,6.8999999999999995,5.3,10.933333333333332,7.1000000000000005,8.266666666666667,10.666666666666666
Tennessee,7.7,6.033333333333334,7.633333333333333,7.266666666666667,9.366666666666667,8.5,8.883333333333333,8.383333333333333,6.066666666666666,6.666666666666667,7.233333333333333
Texas,8.633333333333335,9.633333333333333,8.6,7.816666666666666,10.366666666666667,9.0,9.3,10.0,10.6,8.166666666666666,8.266666666666667
Utah,6.566666666666667,4.8,8.6,9.866666666666667,9.866666666666667,8.266666666666667,8.5,7.133333333333333,7.8,9.166666666666666,8.833333333333334
Vermont,9.0,8.299999999999999,9.333333333333334,8.9,8.0,7.066666666666666,7.066666666666666,7.666666666666667,7.666666666666667,7.666666666666667,7.6000000000000005
Virginia,8.233333333333333,7.566666666666666,8.700000000000001,7.166666666666667,8.766666666666667,9.1,8.516666666666667,10.4,8.333333333333334,8.6,7.3
Washington,8.433333333333334,10.4,7.733333333333333,8.033333333333333,11.4,9.733333333333333,8.083333333333334,10.066666666666668,9.066666666666666,10.1,10.666666666666666
West Virginia,6.866666666666667,7.8999999999999995,7.3999999999999995,7.633333333333333,7.016666666666667,6.533333333333334,7.766666666666667,6.8,6.633333333333333,6.466666666666666,9.266666666666667
Wisconsin,6.5,9.266666666666667,6.916666666666667,6.833333333333333,7.5,7.766666666666667,11.833333333333334,7.666666666666667,8.566666666666666,8.933333333333334,8.266666666666667
Wyoming,5.3,8.200000000000001,6.8,6.266666666666667,6.8,8.1,8.1,7.266666666666667,5.766666666666667,8.299999999999999,9.9
